country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
American Samoa,ASM,5,0,46136,0.5,0.58999997,0.73000002,0.69999999,0.80000001,0.80000001,0.60000002,1,0.80000001,0.80000001,0.69,0.80000001,0.69,0.60000002,0.73000002,0.69999999,0.80000001,0.99000001,0.81999999,0.89999998,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
French Southern Territories,ATF,5,0,35392,9.6999998,8.9200001,8.4899998,11.62,8.6800003,10.14,8.8800001,10,10.25,11.95,9.3699999,9.8699999,10.11,8.79,9.8100004,9.71,8.1700001,9.0900002,9.21,8.21,9.25,0.46000001,0.38,0.34,0.64999998,0.36000001,0.5,0.38,0.49000001,0.50999999,0.68000001,0.43000001,0.47999999,0.5,0.37,0.47,0.46000001,0.31,0.40000001,0.41,0.31,0.41999999,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Antigua and Barbuda,ATG,5,0,97031,2.1900001,2.5899999,2.49,2.46,1.97,2.1700001,2.0699999,2.5599999,2.3399999,2.0599999,2.0599999,2.1600001,2.97,2.1400001,2.26,1.6900001,1.79,1.99,2.1800001,1.88,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Australia,AUS,5,8,25103251,3.3299999,3.3900001,3.1800001,3.75,4.0100002,4.9000001,3.3099999,3.04,4.25,3.48,2.9400001,4.1100001,3.1199999,3.3199999,3.25,3.73,3.8499999,3.52,3.24,3.46,3.24,0,0,0,0.0099999998,0.039999999,0.090000004,0,0,0.039999999,0,0,0.029999999,0,0,0,0.0099999998,0.0099999998,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,5,25,8826852,16.23,15.84,14.94,16.110001,17.43,17.67,15.88,18.209999,17.719999,13.39,12.83,14.17,15.73,15.54,12.88,14.27,12.3,12.3,11.5,11.94,12.42,1.1,1.0599999,0.97000003,1.09,1.22,1.24,1.0700001,1.29,1.25,0.81999999,0.76999998,0.89999998,1.05,1.03,0.76999998,0.91000003,0.70999998,0.70999998,0.63999999,0.68000001,0.73000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,5,0,10084800,15.73,15.04,14.23,11.46,12.62,12.1,11.22,12.7,12.42,12.63,11.78,12.05,12.24,12.27,13.04,11.37,11.81,11.52,11.87,12.82,10.58,1.05,0.98000002,0.89999998,0.63,0.75,0.69999999,0.61000001,0.75,0.73000002,0.75,0.66000003,0.69,0.70999998,0.70999998,0.79000002,0.62,0.67000002,0.63999999,0.67000002,0.76999998,0.55000001,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Burundi,BDI,5,0,11533824,26.5,19.92,30.450001,36.619999,31.67,28.469999,33.889999,33.849998,28.709999,37.720001,35.490002,33.07,34.93,35.82,35.509998,36.869999,32.549999,34.849998,33.330002,27.9,28.33,2.1099999,1.46,2.49,3.0999999,2.6099999,2.3,2.8299999,2.8299999,2.3199999,3.21,2.99,2.75,2.9300001,3.02,2.99,3.1199999,2.7,2.9300001,2.78,2.24,2.29,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Belgium,BEL,5,25,11651325,14.99,14,12.65,12.51,12.58,14.62,12.85,12.44,13.31,15.03,14.44,15.62,15.63,14.82,13.04,14.03,11.23,10.75,10.71,10.23,10.78,0.98000002,0.88,0.75,0.74000001,0.74000001,0.94,0.76999998,0.73000002,0.81,0.98000002,0.93000001,1.04,1.04,0.95999998,0.79000002,0.88999999,0.61000001,0.56,0.56,0.50999999,0.56999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,5,0,12455196,15.09,14.63,16.24,16.860001,16.48,17.719999,18.75,19.15,17.27,18.200001,18.889999,17.99,17.940001,17.25,16.09,15.15,15.25,15.66,17.09,17.23,16.719999,0.99000001,0.94,1.1,1.16,1.12,1.25,1.35,1.39,1.2,1.29,1.36,1.27,1.27,1.2,1.09,1,1,1.04,1.1799999,1.2,1.15,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
"Bonaire, Sint Eustatius and Saba",BES,5,0,24947,2.76,3.5599999,2.5999999,2.6900001,2.3099999,2.97,2.8299999,3.3800001,2.9200001,3.0799999,3.25,2.6500001,4.9899998,3.0599999,3.01,2.52,2.24,2.29,3.0599999,2.99,2.3599999,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
