,country,2004_life_exp,2005_life_exp,2006_life_exp,2007_life_exp,2008_life_exp,2009_life_exp,2010_life_exp,2011_life_exp,2012_life_exp,2013_life_exp,2014_life_exp,2015_life_exp,2016_life_exp,2017_life_exp,2018_life_exp,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2004_pm,2005_pm,2006_pm,2007_pm,2008_pm,2009_pm,2010_pm,2011_pm,2012_pm,2013_pm,2014_pm,2015_pm,2016_pm,2017_pm,2018_pm,class
21,BLZ,69.227,69.376,70.093,70.655,71.151,71.819,72.272,72.651,73.245,73.666,73.311,73.187,73.399,73.562,73.703,272128.0,280375.0,288729.0,297173.0,305671.0,314171.0,322106.0,329538.0,337059.0,344688.0,352335.0,359871.0,367313.0,374693.0,382066.0,9.3699999,13.59,10.58,10.41,9.2399998,8.9200001,10.61,11.67,8.3299999,10.36,9.0100002,8.8599997,8.1700001,9.0500002,7.96,2
22,BMU,78.4853658536585,78.6853658536586,78.8878048780488,78.9341463414634,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317,81.4419512195122,81.6517073170732,63740.0,64154.0,64523.0,64888.0,65273.0,65636.0,65124.0,64564.0,64798.0,65001.0,65138.0,65237.0,64554.0,63873.0,63918.0,3.78,4.0599999,3.4400001,3.97,3.22,2.71,3.01,2.9300001,2.9200001,2.5799999,2.74,2.6300001,2.28,2.28,2.1700001,4
23,BOL,64.004,64.386,64.779,65.027,65.446,65.88,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,9216279.0,9377388.0,9542663.0,9711152.0,9880593.0,10051317.0,10223270.0,10396246.0,10569697.0,10743349.0,10916987.0,11090085.0,11263015.0,11435533.0,11606905.0,30.49,29.07,26.219999,31.459999,25.959999,24.51,32.25,27.16,25.23,23.85,25.129999,25.790001,25.969999,26.280001,24.719999,8
24,BRA,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,184722043.0,186797334.0,188820682.0,190779453.0,192672317.0,194517549.0,196353492.0,198185302.0,199977707.0,201721767.0,203459650.0,205188205.0,206859578.0,208504960.0,210166592.0,11.02,10.83,10.55,11.47,10.89,10.89,10.74,10.41,10.18,10.12,10.15,11.03,10.42,10.13,10.18,6
25,BRB,74.727,74.89,75.068,75.342,75.447,75.678,75.712,75.917,76.099,76.275,76.476,76.65,76.815,76.936,77.067,268505.0,269477.0,270425.0,271444.0,272635.0,273791.0,274711.0,275486.0,276197.0,276865.0,277493.0,278083.0,278649.0,279187.0,279688.0,1.9299999,2.1600001,2.0599999,2.03,2.03,2.26,2.8299999,2.05,2.25,1.8099999,1.67,1.89,2.1099999,2.3099999,1.9,7
26,BRN,74.65,74.731,74.783,74.818,74.84,74.846,74.849,74.858,74.827,74.799,74.779,74.75,74.733,74.722,74.712,360461.0,366717.0,372808.0,378748.0,384568.0,390311.0,396053.0,401506.0,406634.0,411702.0,416656.0,421437.0,425994.0,430276.0,434274.0,8.1999998,7.5,10.06,6.1199999,5.3499999,11.52,6.8600001,7.8000002,7.8499999,7.0,7.5900002,11.11,8.25,5.3200002,6.9699998,7
27,BTN,65.268,65.805,66.362,66.954,67.499,67.897,68.43,68.881,69.326,69.707,70.049,70.343,70.602,70.847,71.129,649991.0,663323.0,673260.0,681614.0,689737.0,697678.0,705516.0,713331.0,721145.0,728889.0,736357.0,743274.0,749761.0,756121.0,762096.0,25.450001,27.139999,27.51,26.08,27.01,31.299999,25.85,26.940001,29.389999,26.200001,28.860001,28.209999,26.18,26.41,28.620001,8
28,BWA,51.617,52.61,53.918,55.732,57.121,58.279,60.013,60.53,60.8,61.996,62.608,63.818,65.464,66.753,65.422,1859085.0,1892807.0,1928704.0,1966977.0,2007320.0,2048997.0,2091664.0,2134037.0,2175425.0,2217278.0,2260376.0,2305171.0,2352416.0,2401840.0,2451409.0,13.46,15.6,12.67,14.53,14.98,14.52,18.040001,12.79,14.48,14.23,11.85,15.07,13.92,13.1,14.02,9
29,CAF,46.038,46.433,46.851,47.426,48.016,48.648,49.255,49.948,50.686,50.902,50.566,52.793,53.46,53.721,54.369,4115138.0,4208834.0,4294352.0,4375569.0,4467233.0,4564540.0,4660067.0,4732022.0,4773306.0,4802428.0,4798734.0,4819333.0,4904177.0,4996741.0,5094780.0,25.73,24.620001,22.559999,25.1,25.719999,26.370001,26.26,28.049999,26.200001,27.59,25.58,25.370001,25.93,25.219999,27.33,11
30,CAN,79.8926829268293,80.1926829268293,80.3439024390244,80.5439024390244,80.6951219512195,80.9951219512195,81.2463414634146,81.4487804878049,81.6487804878049,81.7487804878049,81.8,81.9,81.9,81.9,82.0487804878049,31940655.0,32243753.0,32571174.0,32889025.0,33247118.0,33628895.0,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545236.0,37065084.0,7.8600001,8.5600004,7.54,7.3200002,7.2399998,6.7800002,6.5900002,6.8800001,6.4400001,6.73,6.9000001,6.8899999,5.6900001,6.3600001,6.1900001,4
31,CHE,81.0878048780488,81.2365853658537,81.490243902439,81.7414634146342,81.9926829268293,82.0439024390244,82.2463414634147,82.6951219512195,82.6975609756098,82.7975609756098,83.1975609756098,82.8975609756098,83.6024390243903,83.5512195121951,83.7536585365854,7389625.0,7437115.0,7483934.0,7551117.0,7647675.0,7743831.0,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8451840.0,8514329.0,11.74,12.83,12.49,11.17,11.49,12.96,13.62,13.43,11.12,12.06,9.2299995,10.51,9.5900002,9.4499998,9.3699999,3
32,CHL,77.616,78.016,78.261,77.826,78.484,78.741,78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35,80.133,16017966.0,16175311.0,16334575.0,16495538.0,16661462.0,16833447.0,17004162.0,17173573.0,17341771.0,17509925.0,17687108.0,17870124.0,18083879.0,18368577.0,18701450.0,14.33,13.77,14.24,15.11,15.91,14.42,14.7,16.01,15.01,15.32,15.76,16.559999,18.01,16.91,15.32,3
33,CHN,73.748,74.111,74.504,74.762,74.872,75.343,75.599,75.903,76.192,76.452,76.717,76.977,77.218,77.248,77.744,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,44.619999,47.700001,50.75,51.060001,50.5,48.27,47.02,52.790001,49.16,52.369999,49.889999,46.529999,43.029999,40.52,35.48,1
34,CIV,51.363,51.824,52.355,52.97,53.653,54.394,55.023,55.52,56.158,56.748,57.208,57.762,58.06,58.48,58.849,18544903.0,18970215.0,19394057.0,19817700.0,20244449.0,20677762.0,21120042.0,21562914.0,22010712.0,22469268.0,22995555.0,23596741.0,24213622.0,24848016.0,25493988.0,12.88,13.24,12.51,12.16,12.65,13.15,12.56,12.58,10.63,10.55,10.66,10.99,10.87,10.64,10.79,13
35,CMR,54.178,54.362,54.856,55.165,55.655,56.102,56.582,57.133,57.792,58.476,58.935,59.658,60.233,60.81,61.18,16809407.0,17275171.0,17751333.0,18251866.0,18777081.0,19319274.0,19878036.0,20448873.0,21032684.0,21632850.0,22299585.0,23012646.0,23711630.0,24393181.0,25076747.0,30.57,30.32,28.110001,29.35,32.189999,30.41,31.459999,30.139999,29.360001,30.51,28.57,28.030001,30.540001,30.76,30.440001,8
36,COD,53.426,53.927,54.534,54.923,55.339,55.836,56.417,57.069,57.248,57.762,58.296,58.49,59.066,59.411,59.942,54815607.0,56550247.0,58381630.0,60289422.0,62249724.0,64270232.0,66391257.0,68654269.0,70997870.0,73460021.0,76035588.0,78656904.0,81430977.0,84283273.0,87087355.0,35.810001,35.66,30.469999,33.919998,35.34,34.580002,38.040001,35.959999,37.669998,39.400002,34.48,37.299999,35.080002,30.65,32.310001,8
37,COL,72.695,73.081,73.468,73.837,74.295,74.742,75.033,75.32,75.597,75.827,76.043,76.257,76.471,76.646,76.748,41648268.0,42220940.0,42772910.0,43306582.0,43815313.0,44313917.0,44816108.0,45308899.0,45782417.0,46237930.0,46677947.0,47119728.0,47625955.0,48351671.0,49276961.0,14.56,14.94,14.6,14.7,14.11,14.57,16.26,15.49,15.57,15.23,15.8,15.1,15.58,15.01,14.16,2
38,COM,59.48,59.604,59.875,60.102,60.475,60.831,61.123,61.503,61.834,62.224,62.516,62.896,63.237,63.625,63.912,581154.0,592683.0,604658.0,616899.0,629470.0,642493.0,656024.0,670071.0,684553.0,699393.0,714612.0,730216.0,746232.0,761664.0,776313.0,4.4000001,5.0500002,6.0300002,6.3699999,5.0799999,6.0700002,5.73,6.23,5.5599999,6.0799999,4.48,4.98,5.5100002,5.9200001,5.5,12
39,CPV,71.999,72.68,72.239,72.835,72.508,73.088,73.499,74.257,74.484,75.059,75.24,74.62,75.742,76.593,75.733,486583.0,492827.0,498884.0,504733.0,510336.0,515638.0,521212.0,527521.0,533864.0,539940.0,546076.0,552166.0,558394.0,564954.0,571202.0,2.04,2.3,2.27,2.1500001,2.1199999,1.9299999,2.24,1.83,1.84,1.92,1.65,2.05,1.87,2.01,2.04,7
40,CRI,78.331,78.505,78.514,78.462,78.445,78.672,78.67,79.348,79.283,79.403,78.774,79.086,79.459,79.377,79.484,4252800.0,4315887.0,4378172.0,4440019.0,4501921.0,4563127.0,4622252.0,4679926.0,4736593.0,4791535.0,4844288.0,4895242.0,4945205.0,4993842.0,5040734.0,9.1999998,11.15,10.71,11.24,10.89,10.54,13.26,12.43,11.1,11.34,10.62,10.11,11.4,11.88,10.03,3
41,CUB,76.912,77.047,77.179,77.307,77.429,77.548,77.661,77.76,77.833,77.87,77.853,77.772,77.643,77.529,77.496,11225294.0,11246114.0,11260630.0,11269887.0,11276609.0,11283185.0,11290417.0,11298710.0,11309290.0,11321579.0,11332026.0,11339894.0,11342012.0,11336405.0,11328244.0,6.5500002,6.8699999,6.3899999,5.9299998,5.0700002,5.6399999,6.27,6.4200001,5.4699998,5.5700002,5.73,5.5700002,5.4699998,5.5900002,5.4000001,4
42,CYP,77.944,78.101,78.371,78.81,78.981,79.401,79.665,79.999,80.109,80.402,80.771,80.966,81.056,81.328,81.382,1018684.0,1037062.0,1055438.0,1073873.0,1092390.0,1110974.0,1129686.0,1145086.0,1156556.0,1166968.0,1176995.0,1187280.0,1197881.0,1208523.0,1218831.0,11.49,12.54,12.75,13.07,12.87,13.35,11.5,16.940001,18.24,12.23,11.99,12.36,11.24,11.76,10.46,3
43,CZE,75.7219512195122,75.9243902439025,76.5243902439024,76.7243902439025,76.9756097560976,77.0780487804878,77.4243902439025,77.8731707317073,78.0756097560976,78.1756097560976,78.8243902439024,78.5780487804878,79.0268292682927,78.9780487804878,79.0292682926829,10197101.0,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,19.280001,21.42,21.209999,15.63,15.48,17.59,20.32,18.799999,16.68,17.65,16.780001,14.94,15.16,15.2,15.53,3
44,DEU,78.6804878048781,78.9317073170732,79.1317073170732,79.5341463414634,79.7365853658537,79.8365853658537,79.9878048780488,80.4365853658537,80.5390243902439,80.490243902439,81.090243902439,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293,82516260.0,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,13.36,13.52,13.82,11.94,12.21,13.47,14.47,13.79,11.28,12.26,11.84,10.67,10.59,10.57,10.83,3
45,DJI,57.759,58.316,58.715,59.024,59.365,59.673,60.259,60.433,60.848,61.221,61.641,61.957,62.191,62.797,63.038,818373.0,830861.0,846947.0,865196.0,882886.0,901103.0,919199.0,936811.0,954297.0,971753.0,989087.0,1006259.0,1023261.0,1040233.0,1057198.0,15.9,16.309999,17.26,18.02,16.389999,17.15,18.77,20.17,18.190001,17.469999,17.549999,18.450001,17.620001,18.969999,19.52,9
46,DNK,77.4926829268293,77.8439024390244,78.0951219512195,78.1951219512195,78.4463414634146,78.5975609756098,79.1,79.8,80.0512195121951,80.3,80.7,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,8.8500004,9.25,10.0,8.8500004,8.5100002,9.6999998,10.11,11.31,8.1400003,7.8400002,9.54,7.8000002,7.3099999,7.1100001,8.6499996,3
47,DOM,70.331,70.875,71.165,71.371,71.658,71.871,72.093,72.221,72.514,72.713,72.867,72.953,72.987,73.063,73.232,9043127.0,9164768.0,9284168.0,9402206.0,9522948.0,9648061.0,9775755.0,9903737.0,10030882.0,10157051.0,10282115.0,10405832.0,10527592.0,10647244.0,10765531.0,5.79,7.79,6.9200001,6.6900001,5.9699998,6.1100001,7.3899999,6.48,6.1500001,6.23,6.8400002,6.5999999,7.1700001,7.4699998,7.0700002,7
48,DZA,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,32510186.0,32956690.0,33435080.0,33983827.0,34569592.0,35196037.0,35856344.0,36543541.0,37260563.0,38000626.0,38760168.0,39543154.0,40339329.0,41136546.0,41927007.0,5.3400002,6.6999998,6.7199998,6.52,5.4899998,6.23,5.2199998,6.5500002,6.5100002,6.1300001,5.0500002,6.5700002,5.29,6.21,5.6999998,7
49,ECU,74.279,74.514,74.689,74.844,74.983,75.184,75.43,75.743,76.062,76.369,76.622,76.789,76.763,76.972,77.094,13534593.0,13770012.0,14009061.0,14251835.0,14496797.0,14742766.0,14989585.0,15237728.0,15483883.0,15722989.0,15957994.0,16195902.0,16439585.0,16696944.0,17015672.0,16.09,17.200001,16.030001,16.219999,16.51,16.27,18.030001,16.280001,16.440001,16.34,16.09,16.200001,16.559999,15.88,15.63,2
50,EGY,68.613,68.779,68.977,69.128,69.319,69.48,69.664,69.88,70.085,70.052,70.415,70.483,70.844,71.302,71.367,77522427.0,79075310.0,80629670.0,82218755.0,83844783.0,85501064.0,87252413.0,89200054.0,91240376.0,93377890.0,95592324.0,97723799.0,99784030.0,101789386.0,103740765.0,15.41,15.93,17.68,17.059999,16.610001,16.690001,15.1,18.49,19.940001,16.200001,16.440001,17.9,17.129999,18.93,17.120001,2
51,ERI,59.899,60.597,61.611,62.116,62.573,63.328,63.787,64.402,64.838,65.067,65.6,66.033,66.289,66.577,67.067,2763140.0,2831732.0,2880093.0,2926168.0,3005779.0,3083888.0,3147727.0,3207570.0,3252596.0,3296367.0,3323425.0,3340006.0,3365287.0,3396933.0,3445374.0,10.64,11.24,12.03,12.6,12.66,12.32,12.13,14.24,12.74,11.69,12.33,13.27,12.57,14.63,13.62,12
52,ESP,79.8707317073171,80.1707317073171,80.8219512195122,80.8731707317073,81.1756097560976,81.4756097560976,81.6268292682927,82.4756097560976,82.4268292682927,83.0780487804878,83.2292682926829,82.8317073170732,83.3292682926829,83.2829268292683,83.4317073170732,42921895.0,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,9.0,9.5299997,9.3199997,9.6400003,7.71,8.1099997,7.3400002,8.1499996,7.6999998,7.3600001,6.4299998,7.3299999,6.6300001,6.6500001,6.9200001,4
53,EST,71.909756097561,72.5682926829268,72.6914634146341,72.8146341463415,73.7707317073171,74.8243902439024,75.4292682926829,76.2292682926829,76.3268292682927,77.1414634146341,77.0341463414634,77.590243902439,77.6414634146342,78.0926829268293,78.2439024390244,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,7.8299999,8.0299997,9.3400002,8.71,7.98,8.2200003,9.0299997,7.1700001,7.5300002,7.3000002,8.0600004,6.3000002,5.8800001,5.3299999,6.9899998,7
54,ETH,53.235,54.008,55.149,56.426,57.592,58.804,59.73,60.721,61.543,62.373,62.905,63.649,64.392,64.838,65.412,75301026.0,77469940.0,79691050.0,81996185.0,84357105.0,86755585.0,89237791.0,91817929.0,94451280.0,97084366.0,99746766.0,102471895.0,105293228.0,108197950.0,111129438.0,13.43,14.13,14.94,16.459999,15.13,15.29,16.41,17.4,15.51,16.27,15.98,17.309999,16.34,16.379999,15.95,9
