country,year,life_exp,population,pm
ARM,2003,71.436,3084102.0,15.93
ARM,2004,71.421,3065745.0,15.63
ARM,2005,71.792,3047246.0,16.860001
ARM,2006,71.987,3026486.0,15.74
ARM,2007,72.327,3004393.0,16.969999
ARM,2008,72.398,2983421.0,16.940001
ARM,2009,72.813,2964296.0,16.540001
ARM,2010,73.16,2946293.0,15.92
ARM,2011,73.305,2928976.0,19.16
ARM,2012,73.454,2914421.0,19.59
ARM,2013,73.676,2901385.0,18.450001
ARM,2014,74.058,2889930.0,18.18
ARM,2015,74.436,2878595.0,18.66
ARM,2016,74.664,2865835.0,16.74
ARM,2017,74.906,2851923.0,19.49
ARM,2018,75.064,2836557.0,18.129999
ATG,1998,74.041,72572.0,2.1900001
ATG,1999,74.347,73821.0,2.5899999
ATG,2000,74.606,75055.0,2.49
ATG,2001,75.078,76215.0,2.46
ATG,2002,75.536,77195.0,1.97
ATG,2003,75.478,78075.0,2.1700001
ATG,2004,75.672,78941.0,2.0699999
ATG,2005,75.825,79869.0,2.5599999
ATG,2006,75.765,80895.0,2.3399999
ATG,2007,76.131,82016.0,2.0599999
ATG,2008,76.41,83251.0,2.0599999
ATG,2009,76.669,84534.0,2.1600001
ATG,2010,76.82,85695.0,2.97
ATG,2011,77.104,86729.0,2.1400001
ATG,2012,77.35,87674.0,2.26
ATG,2013,77.583,88497.0,1.6900001
ATG,2014,77.858,89236.0,1.79
ATG,2015,77.913,89941.0,1.99
ATG,2016,78.152,90564.0,2.1800001
ATG,2017,78.268,91119.0,1.88
ATG,2018,78.511,91626.0,1.87
AUS,1998,78.6317073170732,18607584.0,3.3299999
AUS,1999,78.9317073170732,18812264.0,3.3900001
AUS,2000,79.2341463414634,19028802.0,3.1800001
AUS,2001,79.6341463414634,19274701.0,3.75
AUS,2002,79.9365853658537,19495210.0,4.0100002
AUS,2003,80.2390243902439,19720737.0,4.9000001
AUS,2004,80.490243902439,19932722.0,3.3099999
AUS,2005,80.8414634146341,20176844.0,3.04
AUS,2006,81.0414634146342,20450966.0,4.25
AUS,2007,81.2926829268293,20827622.0,3.48
AUS,2008,81.3951219512195,21249199.0,2.9400001
AUS,2009,81.5439024390244,21691653.0,4.1100001
AUS,2010,81.6951219512195,22031750.0,3.1199999
AUS,2011,81.8951219512195,22340024.0,3.3199999
AUS,2012,82.0463414634146,22733465.0,3.25
AUS,2013,82.1487804878049,23128129.0,3.73
AUS,2014,82.3,23475686.0,3.8499999
AUS,2015,82.4,23815995.0,3.52
AUS,2016,82.4487804878049,24190907.0,3.24
AUS,2017,82.5,24594202.0,3.46
AUS,2018,82.7487804878049,24966643.0,3.24
AUT,1998,77.6707317073171,7976789.0,16.23
AUT,1999,77.8756097560976,7992324.0,15.84
AUT,2000,78.1268292682927,8011566.0,14.94
AUT,2001,78.5756097560976,8042293.0,16.110001
AUT,2002,78.6780487804878,8081957.0,17.43
AUT,2003,78.6317073170732,8121423.0,17.67
AUT,2004,79.1804878048781,8171966.0,15.88
AUT,2005,79.3317073170732,8227829.0,18.209999
AUT,2006,79.8804878048781,8268641.0,17.719999
AUT,2007,80.1804878048781,8295487.0,13.39
AUT,2008,80.4317073170732,8321496.0,12.83
AUT,2009,80.3317073170732,8343323.0,14.17
AUT,2010,80.5804878048781,8363404.0,15.73
AUT,2011,80.9829268292683,8391643.0,15.54
AUT,2012,80.9365853658537,8429991.0,12.88
AUT,2013,81.1365853658537,8479823.0,14.27
AUT,2014,81.490243902439,8546356.0,12.3
AUT,2015,81.190243902439,8642699.0,12.3
AUT,2016,81.6414634146342,8736668.0,11.5
AUT,2017,81.6439024390244,8797566.0,11.94
AUT,2018,81.6926829268293,8840521.0,12.42
AZE,1998,63.561,7913000.0,15.73
AZE,1999,64.189,7982750.0,15.04
AZE,2000,64.891,8048600.0,14.23
AZE,2001,65.51,8111200.0,11.46
AZE,2002,66.239,8171950.0,12.62
AZE,2003,66.756,8234100.0,12.1
AZE,2004,67.346,8306500.0,11.22
AZE,2005,67.562,8391850.0,12.7
AZE,2006,68.165,8484550.0,12.42
AZE,2007,68.603,8581300.0,12.63
AZE,2008,68.811,8763400.0,11.78
AZE,2009,69.356,8947243.0,12.05
AZE,2010,69.529,9054332.0,12.24
AZE,2011,69.984,9173082.0,12.27
AZE,2012,70.36,9295784.0,13.04
AZE,2013,70.881,9416801.0,11.37
AZE,2014,71.116,9535079.0,11.81
AZE,2015,71.451,9649341.0,11.52
AZE,2016,72.004,9757812.0,11.87
AZE,2017,72.248,9854033.0,12.82
AZE,2018,72.76,9939771.0,10.58
BDI,1998,46.552,6035340.0,26.5
