year,life_exp,population,pm
2004,74.49,10292225.0,7.73
2005,74.764,10388344.0,10.65
2006,74.921,10483558.0,9.96
2007,75.072,10580395.0,8.75
2008,75.185,10680380.0,8.3000002
2009,75.267,10784504.0,8.8599997
2010,75.421,10895063.0,6.6399999
2011,75.46,11032528.0,10.46
2012,75.55,11174383.0,8.9899998
2013,75.65,11300284.0,8.8299999
2014,75.65,11428948.0,6.9200001
2015,75.692,11557779.0,10.37
2016,75.786,11685667.0,7.7199998
2017,75.845,11811443.0,9.4300003
2018,75.95,11933041.0,8.2299995
