country,life_exp_1999,life_exp_2000,life_exp_2001,life_exp_2002,life_exp_2003,life_exp_2004,life_exp_2005,life_exp_2006,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,min_1999,min_2000,min_2001,min_2002,min_2003,min_2004,min_2005,min_2006,max_1999,max_2000,max_2001,max_2002,max_2003,max_2004,max_2005,max_2006,avg_1999,avg_2000,avg_2001,avg_2002,avg_2003,avg_2004,avg_2005,avg_2006
ITA,79.4243902439024,79.7780487804878,80.1268292682927,80.2292682926829,79.9829268292683,80.7804878048781,80.7829268292683,81.2829268292683,56916317.0,56942108.0,56974100.0,57059007.0,57313203.0,57685327.0,57969484.0,58143979.0,12.9,11.7,10.4,10.6,11.9,11.3,8.9,9.6,45.3,43.2,27.1,31.3,30.9,29.2,28.0,28.6,23.97,21.94,17.16,19.14,18.97,17.16,16.39,16.23
JAM,70.968,70.944,70.758,70.888,70.806,70.86,71.044,71.199,2596271.0,2612205.0,2625405.0,2638244.0,2651027.0,2664024.0,2676863.0,2689660.0,9.3,10.2,9.7,9.1,11.0,8.9,10.3,10.7,9.8,11.2,10.1,9.8,12.5,9.6,10.8,12.1,9.53,10.7,9.87,9.47,11.83,9.27,10.6,11.5
JOR,71.694,71.918,72.147,72.359,72.573,72.772,72.932,73.145,4950775.0,5056174.0,5163310.0,5275532.0,5396117.0,5532423.0,5678534.0,6075548.0,10.9,12.7,17.4,18.9,22.2,18.6,19.2,19.3,17.4,19.1,21.5,23.2,30.2,28.7,29.2,27.7,13.77,15.35,19.31,21.27,26.61,24.25,24.84,24.4
JPN,80.5707317073171,81.0760975609756,81.4170731707317,81.5634146341463,81.76,82.030243902439,81.9251219512195,82.3219512195122,126631000.0,126843000.0,127149000.0,127445000.0,127718000.0,127761000.0,127773000.0,127854000.0,6.0,6.1,6.2,6.0,7.5,5.4,5.0,6.1,25.2,28.9,29.7,26.9,26.8,23.8,24.9,28.3,11.19,15.2,14.11,12.52,13.61,11.04,12.07,12.87
KAZ,65.63,65.45,65.76,65.95,65.74,66.06,65.86,66.15,14928374.0,14883626.0,14858335.0,14858948.0,14909019.0,15012984.0,15147029.0,15308085.0,7.4,7.2,7.9,7.5,5.3,6.2,5.2,5.8,80.4,73.5,65.1,38.0,33.2,32.4,32.7,39.4,16.04,14.74,15.71,14.38,12.66,12.82,12.29,13.8
KEN,54.495,54.411,54.508,54.99,55.601,56.361,57.344,58.222,29965129.0,30851606.0,31800343.0,32779823.0,33767122.0,34791836.0,35843010.0,36925253.0,5.0,5.8,6.0,6.2,5.6,4.9,5.2,5.3,15.0,17.2,16.5,14.0,13.2,11.8,12.3,13.0,8.15,9.17,10.37,9.91,8.15,7.57,7.37,7.56
KGZ,68.6560975609756,68.5585365853659,68.7073170731707,68.1560975609756,68.2560975609756,68.1536585365854,67.9560975609756,67.6951219512195,4840400.0,4898400.0,4945100.0,4990700.0,5043300.0,5104700.0,5162600.0,5218400.0,13.0,16.0,13.8,14.9,11.5,16.5,13.0,18.8,47.9,50.8,41.2,51.4,46.5,51.1,47.3,68.9,21.3,25.35,22.81,28.62,21.92,25.67,21.31,31.33
KHM,57.69,58.625,59.966,61.226,62.523,63.552,64.293,65.059,11899006.0,12118841.0,12338192.0,12561779.0,12787710.0,13016371.0,13246583.0,13477779.0,9.3,10.1,9.3,10.9,9.8,13.0,12.2,11.4,14.9,17.8,19.1,18.5,15.3,19.4,20.2,17.3,11.71,13.69,13.58,15.03,12.72,16.57,16.03,14.39
KOR,75.409756097561,75.909756097561,76.4121951219512,76.7658536585366,77.2146341463415,77.6658536585366,78.1682926829268,78.6682926829268,46616677.0,47008111.0,47370164.0,47644736.0,47892330.0,48082519.0,48184561.0,48438292.0,16.3,19.3,19.5,19.3,20.1,17.7,18.1,21.0,26.6,30.8,29.2,28.1,30.7,25.9,28.4,29.2,21.05,24.42,25.24,24.12,25.59,21.49,22.76,25.16
KWT,76.416,76.722,76.891,76.982,76.985,76.792,76.903,76.887,1877427.0,1934901.0,1991674.0,2047364.0,2101506.0,2153481.0,2235403.0,2363409.0,47.2,52.4,41.2,41.3,49.3,38.1,48.9,42.4,54.8,66.8,49.0,49.0,54.7,43.8,57.8,47.1,50.11,57.6,44.91,44.93,51.81,41.44,53.01,45.2
LAO,57.873,58.378,59.07,59.534,60.031,60.293,60.98,61.493,5340056.0,5430853.0,5519707.0,5606101.0,5689065.0,5768167.0,5852970.0,5946593.0,10.7,14.6,11.0,12.5,11.4,14.9,16.4,13.3,31.2,29.3,27.8,32.4,22.7,32.4,27.1,28.3,21.42,22.53,21.65,24.05,18.59,24.49,23.45,21.77
LBN,73.49,73.931,74.365,75.064,75.593,75.976,76.273,76.08,4250020.0,4320642.0,4389200.0,4446666.0,4504807.0,4574797.0,4643044.0,4719864.0,13.7,14.7,16.3,17.0,16.8,16.4,15.5,17.1,14.6,15.7,16.7,17.4,19.7,17.8,16.8,18.4,14.07,15.13,16.5,17.27,18.57,16.97,16.2,17.9
LBR,49.953,51.356,52.752,53.788,53.042,56.013,56.912,57.62,2789743.0,2895224.0,2981648.0,3060599.0,3085173.0,3122447.0,3266318.0,3455397.0,38.7,43.4,30.0,33.5,31.3,50.2,40.9,33.2,56.1,57.7,37.7,47.5,38.6,72.6,57.1,42.3,47.5,49.68,34.04,40.6,33.74,61.53,49.12,37.53
LBY,71.058,70.68,70.861,71.004,71.132,71.49,71.592,71.724,5057998.0,5154790.0,5275916.0,5405326.0,5542641.0,5687563.0,5837986.0,5973369.0,14.0,15.0,13.2,14.4,20.1,18.9,19.3,15.2,40.7,43.5,48.4,51.6,53.8,54.7,56.1,58.2,30.49,31.97,33.9,37.19,38.97,39.22,39.26,40.03
LKA,72.618,70.355,70.787,71.117,71.373,67.091,72.118,71.969,18663293.0,18777606.0,18911727.0,19062476.0,19224036.0,19387153.0,19544988.0,19695977.0,11.7,14.3,15.5,12.8,13.4,14.3,14.6,13.7,21.3,24.8,25.0,18.7,20.1,22.9,21.7,20.3,15.93,18.51,19.37,15.42,16.8,17.89,18.23,16.84
LSO,50.081,48.427,46.849,45.595,44.53,43.711,43.233,42.914,1994243.0,1998630.0,1999473.0,1997534.0,1993030.0,1985384.0,1977424.0,1976780.0,8.2,7.8,8.1,8.0,7.0,6.0,6.0,6.9,10.9,10.8,10.7,10.4,9.2,8.4,8.6,9.5,9.7,9.39,9.38,9.16,7.96,6.97,7.13,8.01
LTU,71.5707317073171,72.0195121951219,71.6585365853659,71.7609756097561,72.0609756097561,71.9609756097561,71.2536585365854,71.0560975609756,3524238.0,3499536.0,3470818.0,3443067.0,3415213.0,3377075.0,3322528.0,3269909.0,17.6,13.6,10.3,14.8,13.8,9.8,13.2,16.5,21.5,19.2,17.4,21.2,19.5,14.9,18.5,21.9,19.53,16.09,13.66,17.48,16.23,12.05,15.57,18.65
LUX,77.7707317073171,77.8731707317073,77.8243902439025,77.9658536585366,77.7268292682927,79.1219512195122,79.4317073170732,79.2878048780488,430475.0,436300.0,441525.0,446175.0,451630.0,458095.0,465158.0,472637.0,19.0,16.1,16.1,14.6,16.7,14.5,13.9,15.3,19.0,16.1,16.1,14.6,16.7,14.5,13.9,15.3,19.0,16.1,16.1,14.6,16.7,14.5,13.9,15.3
LVA,69.7429268292683,70.3146341463415,70.7609756097561,70.9609756097561,71.2658536585366,72.0268292682927,71.3560975609756,70.8658536585366,2390482.0,2367550.0,2337170.0,2310173.0,2287955.0,2263122.0,2238799.0,2218357.0,13.6,10.9,9.0,12.2,10.8,8.3,11.3,13.1,20.1,14.8,13.0,18.2,15.4,12.5,14.2,17.9,16.76,12.84,11.08,14.5,13.19,10.25,12.63,15.67
MAR,66.406,66.787,67.18,67.547,67.915,68.231,68.704,69.128,28176997.0,28554415.0,28930097.0,29301817.0,29661270.0,30033125.0,30431902.0,30833022.0,9.9,11.1,11.8,11.4,11.0,13.5,12.4,12.3,34.7,35.4,35.1,36.7,32.4,37.0,37.5,36.6,20.85,22.41,20.48,20.4,19.53,19.95,20.75,20.71
MDA,65.561,66.417,66.787,66.938,67.419,67.861,68.169,68.479,2930622.0,2924668.0,2918135.0,2911385.0,2903198.0,2896023.0,2888985.0,2880967.0,18.4,15.6,16.0,17.9,13.4,12.8,15.1,15.4,20.5,17.8,18.3,22.7,16.2,15.0,16.6,17.9,19.56,16.89,17.07,20.29,14.82,14.06,15.84,16.81
MDG,57.372,57.938,58.57,58.892,59.491,60.149,60.57,61.315,15730885.0,16216431.0,16709665.0,17211934.0,17724310.0,18250774.0,18792171.0,19350299.0,2.1,2.4,2.9,2.2,2.6,2.3,2.7,2.4,4.2,4.6,9.2,5.2,5.3,4.5,5.5,5.5,3.08,3.36,5.53,3.72,3.7,3.14,3.89,3.55
MEX,73.225,73.569,73.867,74.106,74.274,74.372,74.376,74.331,96334810.0,97873442.0,99394288.0,100917081.0,102429341.0,103945813.0,105442402.0,106886790.0,5.6,5.8,5.4,5.9,4.0,3.5,3.9,3.9,57.2,70.3,23.3,23.1,29.5,21.5,24.4,21.6,13.66,15.91,10.65,10.59,9.8,7.81,9.22,8.14
MKD,72.790243902439,72.9463414634147,73.4365853658537,73.0390243902439,73.2414634146342,73.5975609756098,73.6975609756098,73.8951219512195,2017142.0,2026350.0,2034882.0,2020157.0,2026773.0,2032544.0,2036855.0,2040228.0,21.6,21.4,15.9,16.8,15.5,14.7,14.2,13.8,26.7,27.2,20.5,21.0,19.0,18.8,18.8,17.4,23.67,23.91,18.23,18.53,16.91,16.55,16.54,15.4
MLI,49.797,50.539,51.284,52.222,52.893,53.538,54.003,54.615,10916993.0,11239101.0,11583824.0,11952660.0,12342165.0,12751995.0,13180551.0,13623541.0,45.4,49.5,41.2,44.7,42.9,50.9,47.1,42.0,75.6,80.2,73.3,81.0,77.0,80.2,76.9,77.1,61.44,65.52,57.62,62.55,59.39,63.56,61.33,57.0
MMR,59.881,60.155,60.416,60.725,60.98,61.25,61.599,61.893,45041636.0,45538332.0,46014826.0,46480230.0,46924293.0,47338446.0,47724471.0,48088274.0,9.8,9.7,8.0,8.8,8.4,8.2,10.3,11.5,36.4,35.9,26.5,26.2,25.4,30.2,25.6,26.9,16.93,16.47,16.64,17.36,15.76,18.79,18.45,18.26
MNE,72.640756097561,73.8184878048781,74.0694146341464,73.9064878048781,73.9317317073171,74.5639512195122,73.9829268292683,73.8390243902439,606001.0,604950.0,607389.0,609828.0,612267.0,613353.0,614261.0,615025.0,18.0,18.7,14.9,15.5,15.7,15.0,13.7,14.0,20.5,20.6,17.2,18.3,17.7,16.6,15.6,15.7,19.43,19.62,16.35,16.58,16.37,15.83,14.58,14.82
MNG,62.529,62.882,63.279,63.518,64.208,64.796,64.879,65.513,2428488.0,2450979.0,2472601.0,2494617.0,2516454.0,2537949.0,2559255.0,2581242.0,5.1,5.6,5.8,7.0,4.8,3.9,3.5,3.5,55.3,52.5,35.1,47.0,41.5,38.1,33.7,45.2,13.83,13.12,10.37,13.76,13.76,9.88,9.41,10.67
MOZ,48.812,49.491,50.065,50.59,50.87,51.249,51.561,51.961,17337893.0,17768505.0,18220716.0,18694946.0,19186754.0,19694411.0,20211114.0,20735982.0,4.0,4.6,6.0,4.5,4.2,4.2,4.6,4.0,14.1,14.3,17.1,14.6,12.8,11.1,13.0,11.7,8.99,8.98,11.03,8.82,7.6,7.49,8.16,7.54
MRT,60.819,61.028,61.185,61.268,61.347,61.593,61.656,61.891,2620611.0,2695003.0,2761823.0,2821703.0,2883326.0,2946575.0,3012360.0,3081229.0,42.2,41.8,35.7,41.7,44.4,35.9,40.0,33.6,74.0,81.1,69.1,77.2,75.6,74.7,75.2,75.0,63.09,66.63,57.55,61.66,62.74,58.7,61.82,55.47
MWI,43.568,44.518,45.895,47.221,48.79,50.453,52.044,53.238,10973956.0,11229387.0,11498818.0,11784498.0,12087965.0,12411342.0,12755648.0,13118307.0,8.0,7.9,12.3,9.8,8.1,8.3,8.9,8.0,12.5,11.5,15.1,12.4,11.4,11.6,12.2,11.8,9.4,9.78,13.27,10.84,9.54,9.54,9.89,9.13
MYS,72.283,72.775,73.344,73.563,73.796,73.898,74.096,74.164,22368655.0,22945150.0,23542517.0,24142445.0,24739411.0,25333247.0,25923536.0,26509413.0,4.3,4.3,4.1,8.2,5.3,9.5,5.2,7.8,69.6,69.9,64.7,52.8,36.3,34.8,43.9,65.6,17.66,16.48,15.84,19.6,15.57,19.08,17.57,26.51
NAM,53.036,51.99,51.26,51.254,51.083,51.246,51.787,52.655,1778277.0,1819141.0,1856402.0,1888525.0,1915425.0,1939406.0,1962865.0,1986558.0,5.7,4.9,5.2,5.8,5.0,5.0,4.1,4.8,13.0,14.6,14.8,13.1,12.6,11.9,12.6,10.4,8.03,7.66,8.92,8.85,8.19,7.19,7.37,7.0
NCL,73.8756097560976,75.1634146341463,74.8317073170732,75.1024390243903,75.2707317073171,75.4707317073171,75.7219512195122,76.0756097560976,209214.0,213230.0,217324.0,221490.0,225296.0,228750.0,232250.0,235750.0,2.4,2.6,2.7,2.4,2.4,2.2,2.1,2.2,3.3,3.4,3.4,3.0,3.3,3.0,2.8,2.9,2.86,3.0,3.04,2.72,2.82,2.58,2.48,2.54
NER,48.738,49.322,49.841,50.562,51.434,52.589,53.59,54.596,11231469.0,11622665.0,12031430.0,12456517.0,12900790.0,13366885.0,13855221.0,14365168.0,36.2,36.1,36.6,39.4,35.3,33.2,41.7,37.9,100.5,124.0,106.6,116.3,107.8,124.0,114.9,122.1,66.09,73.68,64.97,69.44,65.2,71.11,70.22,67.36
NGA,46.614,47.193,47.619,47.928,48.441,48.767,49.297,49.73,119695565.0,122851984.0,126152678.0,129583026.0,133119801.0,136756848.0,140490722.0,144329764.0,45.0,47.2,43.6,41.2,43.6,43.1,46.8,46.0,88.2,119.0,90.4,95.5,83.6,101.1,100.8,86.8,64.79,84.58,69.48,71.43,64.12,74.53,75.56,68.31
NIC,67.12,67.234,67.215,67.18,67.217,67.423,67.936,68.725,5049878.0,5123222.0,5192764.0,5259006.0,5323062.0,5386223.0,5454678.0,5529811.0,6.6,7.2,7.8,6.7,6.8,5.9,6.8,6.0,13.1,13.7,14.5,12.7,13.9,8.1,15.9,9.2,8.52,8.99,10.33,8.7,8.83,6.59,10.32,6.78
NLD,77.8365853658537,77.9878048780488,78.190243902439,78.2926829268293,78.4926829268293,79.0951219512195,79.3463414634146,79.6975609756098,15812088.0,15925513.0,16046180.0,16148929.0,16225302.0,16281779.0,16319868.0,16346101.0,15.8,17.1,14.5,16.8,18.6,16.3,14.0,15.2,21.5,24.3,20.4,21.1,24.5,22.4,19.9,22.4,18.98,20.36,17.48,19.17,20.63,18.56,16.32,17.86
NOR,78.2829268292683,78.6341463414634,78.7853658536585,78.9878048780488,79.390243902439,79.8414634146342,80.0414634146342,80.3439024390244,4461913.0,4490967.0,4513751.0,4538159.0,4564855.0,4591910.0,4623291.0,4660677.0,3.7,3.5,3.2,2.9,3.0,2.6,2.5,3.5,14.4,12.8,9.1,8.9,9.9,7.4,6.5,10.7,6.39,6.36,5.11,5.36,5.34,4.41,3.82,5.44
NPL,62.113,62.614,63.336,63.264,64.197,64.818,65.457,65.868,24143157.0,24559500.0,24956071.0,25332178.0,25682908.0,26003965.0,26285110.0,26518971.0,5.5,6.1,8.7,11.5,11.3,12.5,9.9,8.0,56.2,60.2,79.3,75.7,64.7,63.3,62.8,67.2,26.89,28.28,35.72,39.49,35.6,37.07,31.55,32.93
NZL,77.890243902439,78.6365853658537,78.6926829268293,78.8463414634146,79.1463414634146,79.5487804878049,79.8512195121951,80.0487804878049,3835100.0,3857700.0,3880500.0,3948500.0,4027200.0,4087500.0,4133900.0,4184600.0,2.1,2.1,2.2,2.0,1.7,1.8,1.6,1.7,3.7,3.6,3.8,3.3,3.1,2.9,3.0,3.0,2.63,2.67,2.64,2.34,2.13,2.08,2.06,2.13
OMN,73.184,73.466,73.808,73.869,74.14,74.329,74.396,74.48,2312600.0,2344253.0,2374653.0,2403659.0,2431600.0,2468855.0,2515192.0,2560649.0,29.6,41.0,33.9,35.1,40.6,38.6,38.3,36.8,55.3,65.3,58.6,61.6,64.8,61.0,61.5,63.5,41.23,50.53,45.86,46.96,51.65,47.57,47.95,48.26
PAK,61.679,62.102,62.421,62.626,62.843,63.052,62.466,63.731,149694462.0,154369924.0,159217727.0,163262807.0,166876680.0,170648620.0,174372098.0,178069984.0,20.1,21.0,10.2,11.7,18.4,18.8,16.6,20.2,73.5,84.7,87.1,94.1,90.8,94.1,65.5,72.3,47.73,50.49,60.89,62.2,56.59,59.92,43.65,46.58
PAN,73.622,74.001,74.414,74.824,75.218,75.544,75.829,76.012,2943120.0,3001731.0,3061024.0,3120990.0,3181608.0,3243311.0,3305868.0,3368573.0,5.4,5.8,5.8,5.1,5.5,4.6,5.6,5.3,24.1,29.4,15.7,13.3,22.7,18.4,23.1,23.8,12.24,14.36,10.18,8.59,12.4,10.47,12.32,12.46
PER,69.743,70.424,71.041,71.661,72.217,72.668,72.986,73.172,26252239.0,26654439.0,27014909.0,27334503.0,27623341.0,27893911.0,28147267.0,28381078.0,3.4,3.3,2.6,2.8,2.7,2.6,2.9,2.5,25.1,23.1,23.9,23.7,22.3,25.2,23.3,22.5,11.62,10.61,11.07,11.5,11.32,12.33,13.09,10.37
PHL,69.298,69.413,69.614,69.781,69.924,70.037,70.24,70.282,76249064.0,77958223.0,79626086.0,81285572.0,82942837.0,84607501.0,86261250.0,87901835.0,3.2,3.5,3.5,4.3,4.6,6.0,3.9,4.8,40.7,39.5,17.1,16.8,25.0,26.5,31.0,29.5,9.86,10.21,8.11,9.5,9.0,10.85,9.3,10.43
PNG,61.672,61.72,61.773,61.698,61.797,61.761,61.801,61.917,5321388.0,5508297.0,5698489.0,5892596.0,6090980.0,6293166.0,6498818.0,6708217.0,2.3,2.5,2.6,2.4,2.6,2.6,2.4,2.9,11.2,20.3,9.5,10.2,11.5,11.9,9.0,10.5,4.89,5.71,4.49,4.95,4.94,5.46,4.44,5.24
POL,73.0439024390244,73.7487804878049,74.2,74.4975609756098,74.5975609756098,74.8463414634146,74.9951219512195,75.1439024390244,38660271.0,38258629.0,38248076.0,38230364.0,38204570.0,38182222.0,38165445.0,38141267.0,18.4,18.4,13.7,18.6,16.5,12.7,14.6,17.8,38.9,35.6,35.4,40.2,33.5,28.3,35.4,34.6,26.65,26.55,22.59,28.23,24.33,20.58,23.86,26.05
PRI,75.536,75.977,76.456,76.728,76.874,77.143,77.237,77.415,3800081.0,3810605.0,3818774.0,3823701.0,3826095.0,3826878.0,3821362.0,3805214.0,4.8,6.2,5.1,5.4,4.3,4.1,4.4,4.4,5.4,6.8,5.4,5.6,4.8,4.2,5.0,4.9,5.07,6.5,5.27,5.47,4.5,4.13,4.7,4.63
PRK,60.798,60.763,60.745,60.792,69.546,69.437,69.285,69.085,23204498.0,23367059.0,23512522.0,23638411.0,23781707.0,23948930.0,24100982.0,24235761.0,14.0,14.9,14.4,13.8,15.3,13.9,14.6,16.1,20.3,25.8,30.6,25.3,29.5,31.1,26.9,33.3,16.53,18.73,21.17,18.99,22.48,20.35,19.14,23.09
PRT,75.9634146341463,76.3146341463415,76.8146341463415,77.0658536585366,77.219512195122,77.6707317073171,78.0707317073171,78.419512195122,10217828.0,10289898.0,10362722.0,10419631.0,10458821.0,10483861.0,10503330.0,10522288.0,8.8,9.7,9.9,9.2,9.1,8.5,7.9,9.4,12.7,13.9,12.8,12.6,13.9,11.5,11.6,12.7,10.73,11.28,11.17,10.71,11.65,9.94,9.52,10.82
PRY,69.634,69.75,69.9,70.025,70.297,70.481,70.527,70.781,5026031.0,5123819.0,5211541.0,5286512.0,5353254.0,5416324.0,5476878.0,5534675.0,7.3,4.4,6.6,7.3,7.3,6.8,6.2,5.9,17.2,11.6,10.4,15.6,12.0,14.6,13.9,11.5,12.79,8.56,8.37,12.05,9.76,9.99,10.06,8.51
PSE,70.855,70.388,69.887,70.969,71.053,71.182,72.067,71.915,2848431.0,2922153.0,2997784.0,3075373.0,3154969.0,3236626.0,3320396.0,3406334.0,14.8,17.9,18.7,19.1,18.5,18.1,16.5,17.6,17.8,19.9,19.7,22.1,24.3,21.6,21.8,23.7,16.3,18.9,19.2,20.6,21.4,19.85,19.15,20.65
QAT,74.8,74.828,75.263,75.412,75.565,75.961,76.064,76.57,613302.0,645937.0,678831.0,713186.0,748525.0,777943.0,848710.0,1015060.0,41.4,46.7,38.2,39.9,53.1,44.7,48.2,47.8,42.7,48.1,41.3,41.8,56.6,50.8,53.2,53.2,41.97,47.2,39.87,40.8,54.8,48.73,51.27,50.97
ROU,70.5121951219512,71.1634146341463,71.1609756097561,71.009756097561,71.309756097561,71.5609756097561,71.9121951219512,72.1634146341463,22472040.0,22442971.0,22131970.0,21730496.0,21574326.0,21451748.0,21319685.0,21193760.0,18.4,16.4,16.6,17.3,13.9,12.6,14.6,14.5,32.2,29.7,24.9,28.7,26.9,23.8,25.2,24.5,24.15,21.82,19.69,21.6,19.33,17.16,18.76,18.59
RUS,65.9821951219512,65.4836585365854,65.3834146341463,65.1287804878049,65.0275609756098,65.4709756097561,65.529756097561,66.7275609756098,147214776.0,146596869.0,145976482.0,145306497.0,144648618.0,144067316.0,143518814.0,143049637.0,1.8,2.0,2.2,2.4,3.0,1.6,1.8,2.0,26.0,34.5,22.2,38.5,72.0,20.7,21.2,24.0,9.0,9.13,8.42,9.52,10.83,7.08,7.54,8.82
RWA,44.616,47.129,49.021,51.032,53.368,55.491,57.316,58.714,8009587.0,8109989.0,8223941.0,8372306.0,8567992.0,8791853.0,9026299.0,9270066.0,16.9,21.2,24.0,21.6,17.3,22.0,18.3,16.9,26.2,32.7,28.2,28.7,23.0,28.9,25.0,24.7,21.61,26.74,26.91,26.04,20.94,25.21,22.59,20.09
SAU,72.136,72.467,72.974,73.337,73.628,74.153,74.588,74.81,21009660.0,21547390.0,22085929.0,22623415.0,23150847.0,23661808.0,24397644.0,25382870.0,13.2,13.0,16.2,17.9,19.4,18.3,18.5,17.4,54.9,74.2,54.1,54.7,62.5,58.7,56.8,61.7,26.64,32.61,31.91,33.49,42.76,37.53,38.89,39.84
SDN,57.015,58.319,58.562,58.976,58.2,56.773,57.279,60.281,25634162.0,26298773.0,26947253.0,27570318.0,28188977.0,28831550.0,29540577.0,30332968.0,12.9,15.8,20.5,20.5,19.6,18.6,20.9,19.4,54.0,51.3,50.2,46.2,51.8,51.4,49.0,49.4,32.74,35.16,34.19,35.48,35.27,36.67,35.05,34.63
SEN,56.609,56.943,57.564,58.231,59.122,60.027,60.915,61.75,9478564.0,9704287.0,9938027.0,10180950.0,10434504.0,10698691.0,10974057.0,11263387.0,45.5,49.5,40.1,45.7,44.7,45.1,42.9,40.6,67.3,70.7,51.2,61.5,62.2,60.7,55.6,55.1,56.7,60.58,44.49,54.29,56.17,54.3,48.92,46.97
SLB,67.069,67.225,67.364,67.515,67.644,67.801,67.936,68.09,419229.0,429978.0,440395.0,450760.0,461216.0,471785.0,482486.0,493430.0,1.1,1.3,1.7,2.1,1.9,1.7,1.7,2.3,1.9,2.2,2.4,2.9,2.4,2.5,2.2,2.8,1.43,1.65,1.92,2.5,2.13,2.05,1.92,2.53
SLE,42.071,45.05,45.661,46.359,46.963,47.577,48.237,49.323,4475145.0,4584067.0,4857096.0,5140113.0,5350907.0,5533329.0,5683334.0,5809774.0,42.4,43.2,31.2,32.6,31.3,43.2,39.0,31.3,53.0,50.2,37.3,38.1,35.6,52.7,44.7,37.8,46.57,45.78,34.15,35.14,33.1,47.02,41.44,34.44
SLV,69.379,69.865,69.598,70.232,70.14,70.34,70.44,70.773,5923852.0,5958482.0,5988095.0,6011275.0,6026849.0,6035655.0,6037817.0,6034436.0,13.9,17.1,10.7,9.3,11.5,7.5,10.8,8.7,18.5,20.7,13.9,12.4,13.3,11.0,12.2,11.8,16.28,18.77,12.27,10.63,12.17,8.75,11.43,9.93
SOM,50.525,50.66,50.74,50.731,50.614,50.538,50.661,50.597,8384479.0,8721465.0,9070747.0,9411103.0,9758281.0,10117354.0,10467292.0,10784973.0,5.2,5.9,5.5,6.2,5.7,6.2,5.1,5.5,32.3,53.3,36.0,39.9,37.9,43.6,38.9,39.5,14.91,20.57,15.21,16.82,15.23,15.16,14.61,15.0
SRB,,71.5829268292683,72.2341463414634,72.2853658536585,72.4365853658537,72.6829268292683,72.8341463414634,73.3853658536585,,7516346.0,7503433.0,7496522.0,7480591.0,7463157.0,7440769.0,7411569.0,,19.0,16.3,16.0,15.7,15.4,15.0,14.6,,30.2,26.4,26.4,25.7,21.6,25.4,23.6,,23.01,21.16,21.35,20.48,18.14,20.19,19.25
SSD,43.223,46.028,46.881,47.492,50.253,50.917,51.545,52.016,5850145.0,6114440.0,6394431.0,6686100.0,6992367.0,7317118.0,7662654.0,8029517.0,11.2,13.0,11.2,12.1,12.0,10.5,9.4,11.0,34.8,39.3,33.6,37.0,34.0,34.6,34.7,31.5,24.43,26.99,21.69,22.99,22.6,21.69,23.62,22.4
SUR,65.443,65.508,65.482,65.531,65.596,66.416,67.002,67.571,470458.0,478998.0,487394.0,495666.0,503780.0,510572.0,516220.0,522023.0,10.0,9.9,10.3,9.4,7.5,6.8,6.3,5.8,26.7,32.1,16.2,13.4,14.2,11.5,13.6,17.7,20.11,21.96,12.68,10.47,10.94,8.88,9.88,11.2
SVK,72.9024390243902,73.0512195121951,73.4024390243903,73.6048780487805,73.6048780487805,73.9585365853659,73.9048780487805,74.2048780487805,5396020.0,5388720.0,5378867.0,5376912.0,5373374.0,5372280.0,5372807.0,5373054.0,22.9,19.1,19.1,20.3,18.4,15.9,19.1,17.9,30.8,25.4,25.3,27.9,24.9,21.1,26.3,26.6,26.01,22.68,21.9,24.11,21.48,18.47,22.5,21.78
SVN,75.009756097561,75.4121951219512,75.7585365853659,76.0073170731707,76.8585365853659,77.2073170731707,77.6121951219512,78.0865853658537,1983045.0,1988925.0,1992060.0,1994530.0,1995733.0,1997012.0,2000474.0,2006868.0,21.5,18.5,15.5,15.9,14.6,13.8,15.4,15.7,26.4,23.8,17.8,21.6,20.3,16.2,20.3,21.9,24.22,20.54,16.24,18.82,17.12,14.82,17.87,17.81
SWE,79.4414634146342,79.6439024390244,79.7951219512195,79.8463414634146,80.0951219512195,80.4975609756098,80.5463414634146,80.7487804878049,8857874.0,8872109.0,8895960.0,8924958.0,8958229.0,8993531.0,9029572.0,9080505.0,3.7,3.6,3.5,2.9,2.8,2.6,2.6,3.4,16.9,17.4,11.7,12.1,16.2,11.1,12.2,15.2,7.77,7.43,5.54,5.57,5.88,4.85,4.75,6.72
SWZ,48.733,47.256,45.975,44.486,43.349,42.538,42.125,43.12,1018370.0,1030496.0,1041396.0,1050809.0,1058797.0,1065764.0,1071886.0,1077735.0,10.8,12.6,8.7,8.5,7.7,8.9,9.2,9.4,12.7,14.6,10.5,9.3,9.0,9.5,10.7,10.7,11.78,13.38,9.72,8.94,8.24,9.28,9.94,9.82
SYR,70.425,70.764,71.644,71.939,72.414,72.475,72.769,73.35,15901201.0,16307654.0,16727948.0,17164021.0,17611356.0,18084007.0,18583557.0,19432009.0,11.1,12.0,14.4,14.2,13.1,13.2,12.3,14.9,25.8,27.6,19.9,22.3,25.3,24.6,24.6,24.9,16.85,18.0,16.8,18.83,19.04,19.01,18.88,20.99
TCD,47.372,47.443,47.85,47.946,48.206,48.232,48.312,48.286,7981889.0,8259137.0,8538804.0,8838369.0,9196366.0,9613503.0,10005012.0,10365614.0,27.1,28.6,27.5,29.0,24.9,24.5,28.0,27.3,94.2,111.9,113.8,124.0,116.1,127.9,118.2,129.0,45.83,51.83,46.09,50.42,49.67,52.07,51.44,50.26
