iter	RMSE
292	2.060978717
293	2.053184686
294	2.04804575
295	2.045393411
296	2.041156547
297	2.034466602
298	2.029870078
299	2.025976958
300	2.023009625
301	2.0186219
302	2.015551035
303	2.011024907
304	2.006438793
305	2.004076335
306	1.998899773
307	1.994688055
308	1.990706884
309	1.987962012
310	1.982220491
311	1.97713334
312	1.971711849
313	1.967447823
314	1.96475967
315	1.960232645
316	1.956738629
317	1.952737878
318	1.949530042
319	1.945820944
320	1.941421128
321	1.934810939
322	1.930435717
323	1.928505652
324	1.924955031
325	1.918674698
326	1.916006679
327	1.911989251
328	1.907837149
329	1.904125714
330	1.898770777
331	1.893734267
332	1.888837912
333	1.885976077
334	1.883579068
335	1.880836308
336	1.878552493
337	1.874004335
338	1.868553977
339	1.863837984
340	1.862173081
341	1.858544184
342	1.854266089
343	1.851640366
344	1.847960098
345	1.845707335
346	1.843782941
347	1.841084861
348	1.838982862
349	1.835472748
350	1.832533195
351	1.829293725
352	1.823421503
353	1.819600548
354	1.818599629
355	1.816056339
356	1.812179856
357	1.808583672
358	1.803721704
359	1.800359314
360	1.797895318
361	1.795516585
362	1.791614281
363	1.789785469
364	1.78634283
365	1.784864065
366	1.782461344
367	1.779052741
368	1.773377575
369	1.769848518
370	1.763828343
371	1.761991704
372	1.75974984
373	1.758037936
374	1.754660394
375	1.751924364
376	1.749755478
377	1.743841527
378	1.740051074
379	1.736434347
380	1.73471647
381	1.734241683
382	1.730549398
383	1.72804298
384	1.725999969
385	1.720949302
386	1.717302448
387	1.716176936
388	1.71308997
389	1.712475064
390	1.709501818
391	1.706760496
392	1.70395005
393	1.700735348
394	1.696578077
395	1.692649124
396	1.68517113
397	1.681412243
398	1.6777952
399	1.67473419
400	1.673279263
401	1.671859883
402	1.66852686
403	1.66669751
404	1.663911969
405	1.659717074
406	1.657515186
407	1.654557415
408	1.651736113
409	1.648857002
410	1.647548079
411	1.646247176
412	1.643029879
413	1.639016516
414	1.636208552
415	1.632009273
416	1.630729836
417	1.626422424
418	1.624865955
419	1.62010922
420	1.613118518
421	1.609292817
422	1.607616969
423	1.605070626
424	1.60151958
425	1.599698063
426	1.5970189
427	1.594082472
428	1.592625325
429	1.591209197
430	1.587279537
431	1.584640516
432	1.583468466
433	1.579996412
434	1.57901861
435	1.577997898
436	1.575445698
437	1.574509951
438	1.572555072
439	1.571674415
440	1.569866213
441	1.568365233
442	1.567593831
443	1.565958121
444	1.565228681
445	1.561459753
446	1.558417517
447	1.556206645
448	1.553727966
449	1.552320458
450	1.549568049
451	1.548334627
452	1.544655507
453	1.543035199
454	1.539404772
455	1.537682105
456	1.535463077
457	1.533204511
458	1.529974771
459	1.527974332
460	1.526624145
461	1.524160154
462	1.522781736
463	1.521768899
464	1.518345191
465	1.517412333
466	1.514746636
467	1.513100572
468	1.51042233
469	1.508517637
470	1.503511578
471	1.501198382
472	1.498893742
473	1.496711199
474	1.491610424
475	1.489372878
476	1.488007606
477	1.48593044
478	1.483723508
479	1.480909977
480	1.478790425
481	1.476719547
482	1.475211022
483	1.473554101
484	1.471611479
485	1.468652279
486	1.467918884
487	1.465761196
488	1.461159023
489	1.456314395
490	1.454662792
491	1.448738756
492	1.444218634
493	1.438082652
494	1.434238286
495	1.432857892
496	1.431258025
497	1.428639679
498	1.427038016
499	1.424994662
500	1.422203793
501	1.41806097
502	1.416557623
503	1.415270391
504	1.409694304
505	1.408641134
506	1.406611012
507	1.401129294
508	1.400111923
509	1.397553996
510	1.396995324
511	1.393335675
512	1.392285057
513	1.390264063
514	1.38607349
515	1.383584502
516	1.382074815
517	1.379866908
518	1.379210909
519	1.377084232
520	1.374909135
521	1.373633677
522	1.370777114
523	1.367241009
524	1.365561901
525	1.36175346
526	1.359835486
527	1.356107512
528	1.35264145
529	1.350827365
530	1.349922106
531	1.34757899
532	1.346917836
533	1.343635037
534	1.340352403
535	1.33686436
536	1.335166907
537	1.334281052
538	1.331900018
539	1.330091662
540	1.329065895
541	1.326686169
542	1.324194334
543	1.320791669
544	1.318985372
545	1.315946351
546	1.31414156
547	1.312954629
548	1.309520935
549	1.307977049
550	1.306804105
551	1.304892029
552	1.30162975
553	1.299632501
554	1.298492926
555	1.29751609
556	1.296069653
557	1.292295201
558	1.289295637
559	1.288141408
560	1.286397876
561	1.284767349
562	1.283646204
563	1.279922107
564	1.276277321
565	1.274576001
566	1.273784734
567	1.272730293
568	1.271436723
569	1.270926466
570	1.270349849
571	1.267177683
572	1.264166831
573	1.262593017
574	1.261837518
575	1.258320145
576	1.256832222
577	1.254278769
578	1.253423343
579	1.251996461
580	1.248386947
581	1.24677425
582	1.243147918
583	1.241604214
584	1.23963655
585	1.23844876
586	1.236174242
587	1.235074751
588	1.234369174
589	1.230761243
590	1.229325484
591	1.228651656
592	1.225755378
593	1.223103669
594	1.221469393
595	1.217810774
596	1.216760849
597	1.213766132
598	1.212426533
599	1.210431587
600	1.209731473
601	1.209068772
602	1.206428349
603	1.204574473
604	1.203903174
605	1.202362764
606	1.201775205
607	1.200299082
608	1.195953279
609	1.194519122
610	1.193274891
611	1.19112426
612	1.188323004
613	1.186913695
614	1.186307602
615	1.184804382
616	1.182907283
617	1.181167748
618	1.179776007
619	1.178299425
620	1.175452883
621	1.173622726
622	1.173134911
623	1.169774738
624	1.168409356
625	1.167316521
626	1.164042879
627	1.161797904
628	1.16057448
629	1.159684015
630	1.159322729
631	1.157824155
632	1.156231263
633	1.154948318
634	1.15078486
635	1.149785518
636	1.149103589
637	1.147792765
638	1.143868676
639	1.143595827
640	1.142979636
641	1.141744755
642	1.140153546
643	1.138415563
644	1.137612215
645	1.136010915
646	1.133022823
647	1.131486718
648	1.130059936
649	1.128928647
650	1.127718442
651	1.12673583
652	1.125601818
653	1.124233171
654	1.123114256
655	1.120856107
656	1.119098691
657	1.118282117
658	1.116694112
659	1.116162832
660	1.115712925
661	1.114095392
662	1.113381692
663	1.112867377
664	1.11227716
665	1.111457072
666	1.109775003
667	1.109049986
668	1.107210174
669	1.104795163
670	1.103443237
671	1.102285271
672	1.101195284
673	1.099957334
674	1.098633207
675	1.096297673
676	1.09532041
677	1.094643092
678	1.093432548
679	1.092285929
680	1.091272017
681	1.089729045
682	1.088756858
683	1.087930625
684	1.087463778
685	1.085730685
686	1.084377773
687	1.083834837
688	1.0834612
689	1.082164855
690	1.080584676
691	1.078859545
692	1.076725564
693	1.075439318
694	1.073111212
695	1.071404456
696	1.06970756
697	1.068500716
698	1.0677553
699	1.066296459
700	1.065245066
701	1.064244387
702	1.063202842
703	1.062628842
704	1.061614098
705	1.059776112
706	1.058510821
707	1.058049709
708	1.054203804
709	1.051325803
710	1.046923731
711	1.045702109
712	1.044947205
713	1.042955655
714	1.041730626
715	1.040346263
716	1.038139869
717	1.037189854
718	1.036650327
719	1.034257605
720	1.032383914
721	1.030229867
722	1.029684769
723	1.026949027
724	1.026415496
725	1.024057597
726	1.023479433
727	1.021852862
728	1.02065647
729	1.019051608
730	1.014916252
731	1.014017979
732	1.012486578
733	1.011554364
734	1.010640751
735	1.007739284
736	1.006992
737	1.00622589
738	1.005293562
739	1.002969541
740	1.001219868
741	1.000691368
742	1.000116035
743	0.99961422
744	0.9989299998
745	0.9969065341
746	0.9964616279
747	0.9957255904
748	0.9951472475
749	0.9936253756
750	0.9919510856
751	0.9885736278
752	0.9879788996
753	0.9854495692
754	0.9845458985
755	0.9830751794
756	0.9825047043
757	0.9819040902
758	0.9808266764
759	0.9781367537
760	0.9775507434
761	0.9763112088
762	0.9748850647
763	0.9736049814
764	0.9723996492
765	0.9714578806
766	0.9704990008
767	0.9696642452
768	0.9674312004
769	0.9663827473
770	0.9656382047
771	0.9648181967
772	0.9644472502
773	0.9640466893
774	0.9620418838
775	0.9615289785
776	0.9608688256
777	0.9595858031
778	0.9583053434
779	0.9559723821
780	0.9548844674
781	0.9543926368
782	0.9533140442
783	0.9519578195
784	0.9507764969
785	0.9492822262
786	0.9481956129
787	0.9467785632
788	0.9453293182
789	0.9444945846
790	0.9427620307
791	0.9422126773
792	0.9410496681
793	0.9399093355
794	0.9395415587
795	0.9389017187
796	0.9379347884
797	0.9366016369
798	0.9354984621
799	0.9341807629
800	0.9336260319
801	0.9321629783
802	0.9311403108
803	0.92968035
804	0.9289008129
805	0.9276968627
806	0.9263983373
807	0.9238298939
808	0.9227318371
809	0.9220143465
810	0.9196705504
811	0.917441139
812	0.9163193152
813	0.9148363858
814	0.9138449891
815	0.9130395709
816	0.9127595791
817	0.911486225
818	0.9101285963
819	0.9089390556
820	0.9078686962
821	0.9041013438
822	0.9030935622
823	0.9022345847
824	0.9008858941
825	0.899471776
826	0.8987758377
827	0.8972225986
828	0.8936911025
829	0.8922930166
830	0.8891986267
831	0.8875125983
832	0.8865020438
833	0.8857648576
834	0.8853363728
835	0.8845458795
836	0.8837147286
837	0.8818626098
838	0.8812247033
839	0.8800631634
840	0.8788093931
841	0.8769222977
842	0.8766915048
843	0.8756388794
844	0.8746594734
845	0.8737172025
846	0.8716023885
847	0.8706720707
848	0.8696792972
849	0.8676042246
850	0.8671010263
851	0.865733327
852	0.8641955222
853	0.8637994556
854	0.8614712804
855	0.8610288904
856	0.8602316366
857	0.8592672563
858	0.8586789269
859	0.8573922189
860	0.856306371
861	0.8551569545
862	0.8543224511
863	0.8531880824
864	0.8526355377
865	0.8513974673
866	0.8505536609
867	0.8499192904
868	0.8488750681
869	0.8481087651
870	0.8478040823
871	0.8471536488
872	0.846922052
873	0.8463567867
874	0.8455947592
875	0.8451355268
876	0.8443543558
877	0.8436566257
878	0.8412377579
879	0.8401257562
880	0.8395488618
881	0.8385655584
882	0.8377441665
883	0.8354905499
884	0.8333495555
885	0.8306813576
886	0.8275105036
887	0.8270261871
888	0.8264072675
889	0.8255653616
890	0.8245683498
891	0.8236709603
892	0.8231205514
893	0.822228759
894	0.821086063
895	0.820333371
896	0.8197051358
897	0.8192925424
898	0.818684541
899	0.8179704952
900	0.8174606295
901	0.8164139779
902	0.8158330836
903	0.8148048679
904	0.8144337238
905	0.8135722099
906	0.8131841818
907	0.8125990769
908	0.8120297393
909	0.8109057891
910	0.8096596284
911	0.8091016601
912	0.8081050368
913	0.8068964372
914	0.8066387007
915	0.8058250543
916	0.8027253507
917	0.8022399488
918	0.801260473
919	0.8006918758
920	0.7996240755
921	0.7981448174
922	0.7978146207
923	0.7958210854
924	0.7949911839
925	0.7940467046
926	0.793239313
927	0.7923954054
928	0.7921191902
929	0.7914787509
930	0.7905960209
931	0.7880732474
932	0.787862287
933	0.7869352988
934	0.7860384408
935	0.7850394586
936	0.7838792985
937	0.7828247206
938	0.7819009344
939	0.7798791857
940	0.7791905927
941	0.7770944428
942	0.7765100426
943	0.7760496109
944	0.7746818793
945	0.7739933538
946	0.7734552599
947	0.7729280586
948	0.7723997835
949	0.7716791854
950	0.7707767635
951	0.7686473091
952	0.768124152
953	0.7671019073
954	0.7658703643
955	0.7644957941
956	0.7634687502
957	0.7628777463
958	0.7618525005
959	0.7609456687
960	0.7596729341
961	0.7587390242
962	0.7585680332
963	0.758101277
964	0.757256007
965	0.7563657191
966	0.7550076395
967	0.7544926779
968	0.753301723
969	0.7526644461
970	0.751985246
971	0.751408226
972	0.7487378545
973	0.7480901876
974	0.7475411893
975	0.7465902381
976	0.745616152
977	0.7447513348
978	0.7440097945
979	0.7430534197
980	0.7422955037
981	0.7414611417
982	0.7406422451
983	0.7403122523
984	0.737561757
985	0.7364887192
986	0.7347217694
987	0.7336654435
988	0.7328380129
989	0.7319330649
990	0.7310129231
991	0.7301052678
992	0.7298719616
993	0.7296827938
994	0.72883791
995	0.7280142402
996	0.7274104395
997	0.7263665887
998	0.7252014846
999	0.7244559361
